"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested at Subgroup Level","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage At or Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage At or Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage At or Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage At or Near Standard","Area 4 Percentage Below Standard"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,3,"1",1376,1337,"2431.9","30","23","52","22","26",1332,"29","41","30","28","45","27","23","61","16","26","49","25"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,3,"2",1376,1345,"2451.9","30","31","62","17","21",1339,"44","32","24","38","39","24","38","44","18","0","0","0"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,4,"2",1342,1320,"2502.0","34","27","61","23","16",1317,"47","28","25","37","42","21","39","39","22","0","0","0"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,4,"1",1342,1318,"2482.7","35","23","58","17","25",1316,"31","42","26","33","46","21","24","60","16","28","52","20"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,5,"1",1336,1298,"2522.5","31","29","60","17","23",1293,"33","40","27","39","37","24","24","60","17","39","46","15"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,5,"2",1336,1306,"2532.5","36","19","55","23","22",1302,"42","28","30","34","40","26","34","42","24","0","0","0"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,6,"2",1234,1220,"2548.4","32","21","52","24","23",1214,"35","34","32","32","43","26","31","46","23","0","0","0"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,6,"1",1234,1206,"2550.1","27","33","60","23","17",1202,"29","45","26","34","46","20","21","67","12","37","52","11"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,7,"1",1154,1124,"2574.9","25","38","62","19","19",1118,"33","42","25","41","41","18","20","66","14","38","48","14"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,7,"2",1154,1134,"2561.0","30","21","51","24","25",1130,"35","32","33","35","43","22","32","54","13","0","0","0"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,8,"2",1100,1081,"2570.3","29","18","46","23","30",1078,"32","31","37","32","47","22","29","45","26","0","0","0"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,8,"1",1100,1072,"2582.0","20","39","60","22","18",1062,"32","44","23","33","46","21","19","66","16","32","53","15"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,13,"1",7542,7355,"","28","30","58","20","22",7323,"31","42","26","35","43","22","22","63","15","33","50","17"
"41","69039","0000000",,2015,1,"B",7542,7430,7430,13,"2",7542,7406,"","32","23","55","22","23",7380,"40","31","30","34","42","24","34","45","21","0","0","0"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,3,"1",1376,708,"2422.5","26","22","48","23","29",705,"25","42","33","24","46","29","21","62","17","23","51","26"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,3,"2",1376,717,"2453.6","32","32","63","15","21",711,"46","29","25","39","38","23","38","43","19","0","0","0"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,4,"2",1342,640,"2501.2","35","27","62","21","18",638,"48","28","24","38","40","21","38","39","23","0","0","0"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,4,"1",1342,640,"2468.1","30","23","53","16","31",638,"26","43","31","27","47","27","22","59","19","25","51","24"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,5,"1",1336,634,"2504.2","23","30","53","19","28",634,"27","41","32","31","38","31","21","60","19","31","51","18"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,5,"2",1336,638,"2530.1","35","19","55","24","22",634,"43","28","29","34","39","27","31","43","26","0","0","0"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,6,"2",1234,633,"2545.5","31","22","53","22","24",628,"35","33","33","32","43","25","30","45","25","0","0","0"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,6,"1",1234,623,"2535.4","22","32","54","24","23",623,"26","42","31","30","44","26","20","64","16","31","55","14"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,7,"1",1154,550,"2556.4","20","34","54","21","25",546,"27","43","30","32","45","23","17","66","16","30","54","16"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,7,"2",1154,556,"2558.1","29","20","50","24","27",553,"36","30","34","33","43","24","31","53","15","0","0","0"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,8,"2",1100,584,"2564.6","29","14","44","22","34",582,"32","27","41","32","45","23","28","44","28","0","0","0"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,8,"1",1100,576,"2566.0","16","37","53","24","23",572,"28","44","28","27","46","26","17","65","18","27","52","21"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,13,"1",7542,3731,"","23","29","52","21","26",3718,"27","42","31","28","44","27","20","62","18","28","52","20"
"41","69039","0000000",,2015,3,"B",7542,7430,3781,13,"2",7542,3768,"","32","23","55","21","24",3746,"40","29","30","35","41","24","33","44","23","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,3,"2",1376,628,"2449.9","29","31","60","20","21",628,"41","35","24","36","39","25","38","46","16","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,3,"1",1376,629,"2442.6","34","23","56","20","24",627,"34","40","26","32","44","24","26","60","15","30","46","23"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,4,"1",1342,678,"2496.5","40","22","62","17","21",678,"36","42","22","39","45","16","26","60","13","31","54","15"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,4,"2",1342,680,"2502.8","33","27","60","25","15",679,"46","29","25","35","43","22","39","39","22","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,5,"2",1336,668,"2534.7","37","19","56","23","21",668,"42","28","30","34","41","25","37","41","23","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,5,"1",1336,664,"2540.1","38","29","66","16","18",659,"40","38","22","46","36","18","27","59","14","46","42","12"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,6,"1",1234,583,"2565.9","32","35","67","23","11",579,"31","48","21","39","48","13","22","70","8","43","48","9"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,6,"2",1234,587,"2551.6","32","19","51","27","22",586,"35","34","31","32","43","26","33","46","20","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,7,"2",1154,578,"2563.6","30","22","52","24","24",577,"35","34","32","36","44","20","33","55","11","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,7,"1",1154,574,"2592.6","29","41","71","16","13",572,"38","42","20","49","37","13","22","66","12","46","42","12"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,8,"1",1100,496,"2600.6","25","42","67","20","12",490,"37","45","18","40","45","14","21","66","12","38","53","9"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,8,"2",1100,497,"2577.0","29","21","50","24","26",496,"32","34","33","31","48","20","30","46","24","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,13,"2",7542,3638,"","32","23","55","24","21",3634,"39","32","29","34","43","23","35","45","19","0","0","0"
"41","69039","0000000",,2015,4,"B",7542,7430,3649,13,"1",7542,3624,"","33","31","65","19","17",3605,"36","42","22","41","43","17","24","63","13","39","47","14"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,3,"2",1376,971,"2479.2","40","36","76","14","10",967,"56","31","12","49","39","12","50","41","9","0","0","0"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,3,"1",1376,973,"2462.3","40","27","67","19","14",971,"39","43","17","38","47","15","30","62","8","34","51","15"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,4,"1",1342,1066,"2508.6","43","26","69","17","14",1064,"38","46","16","40","47","12","30","62","9","34","55","11"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,4,"2",1342,1064,"2524.2","41","30","71","21","7",1061,"56","29","14","45","42","12","47","39","14","0","0","0"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,5,"2",1336,1125,"2551.0","41","21","63","23","14",1121,"48","30","22","39","43","18","39","44","18","0","0","0"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,5,"1",1336,1128,"2542.1","35","33","68","17","14",1124,"38","43","18","44","39","17","27","62","11","44","47","9"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,6,"1",1234,1038,"2570.5","31","38","69","23","8",1036,"33","48","19","40","48","12","24","69","6","43","51","6"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,6,"2",1234,1041,"2569.9","37","24","60","25","15",1039,"40","37","23","37","45","18","36","48","16","0","0","0"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,7,"2",1154,1010,"2580.0","33","23","56","26","18",1007,"39","35","25","38","45","16","36","55","9","0","0","0"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,7,"1",1154,1010,"2590.6","27","42","69","19","12",1006,"36","45","19","45","42","12","22","69","9","42","49","9"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,8,"1",1100,976,"2595.3","22","43","65","23","12",970,"35","47","18","36","48","16","21","69","11","35","54","11"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,8,"2",1100,976,"2585.1","32","19","50","24","25",974,"35","33","33","34","48","18","31","46","22","0","0","0"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,13,"2",7542,6187,"","38","25","63","22","15",6169,"46","33","22","40","44","16","40","45","15","0","0","0"
"41","69039","0000000",,2015,6,"B",7542,7430,6204,13,"1",7542,6191,"","33","35","68","20","12",6171,"37","45","18","41","45","14","26","65","9","39","51","10"
"41","69039","0000000",,2015,7,"B",7542,7430,607,3,"2",1376,123,"2512.0","57","29","86","11","2",122,"70","26","4","63","34","3","64","34","2","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,3,"1",1376,124,"2502.8","56","23","80","18","2",124,"54","38","8","59","38","2","43","56","1","49","43","8"
"41","69039","0000000",,2015,7,"B",7542,7430,607,4,"1",1342,97,"2557.8","67","23","90","8","2",96,"52","47","1","59","36","4","50","48","2","56","40","3"
"41","69039","0000000",,2015,7,"B",7542,7430,607,4,"2",1342,96,"2577.2","72","19","91","9","0",96,"84","14","2","76","21","3","71","26","3","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,5,"2",1336,95,"2595.9","65","14","79","20","1",95,"68","23","8","58","36","6","63","34","3","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,5,"1",1336,95,"2589.7","52","39","91","6","3",95,"59","37","4","63","28","8","39","59","2","62","37","1"
"41","69039","0000000",,2015,7,"B",7542,7430,607,6,"1",1234,121,"2624.1","63","23","86","12","2",121,"59","33","8","68","28","4","44","54","2","64","34","2"
"41","69039","0000000",,2015,7,"B",7542,7430,607,6,"2",1234,122,"2632.0","67","16","83","11","7",122,"73","19","8","64","29","7","65","29","7","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,7,"2",1154,93,"2650.7","60","25","85","10","5",93,"67","26","8","65","31","4","67","30","3","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,7,"1",1154,94,"2651.5","59","33","92","5","2",93,"65","31","4","72","27","1","37","59","4","68","29","3"
"41","69039","0000000",,2015,7,"B",7542,7430,607,8,"1",1100,75,"2645.7","47","36","83","13","4",75,"64","28","8","58","36","5","29","67","4","56","41","3"
"41","69039","0000000",,2015,7,"B",7542,7430,607,8,"2",1100,75,"2641.9","55","12","67","21","12",75,"53","29","17","55","35","11","51","41","8","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,13,"2",7542,604,"","63","19","82","13","4",603,"70","23","7","64","31","6","64","32","4","0","0","0"
"41","69039","0000000",,2015,7,"B",7542,7430,607,13,"1",7542,606,"","58","29","87","11","3",604,"58","36","6","63","32","4","41","57","2","59","37","4"
