"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"41","69039","0000000",,2016,1,"B",7670,"7527",7522,3,"1",1356,"1327","2448.1","36","24","60","21","19","1326","31","44","25","33","47","20","26","62","12","33","49","18"
"41","69039","0000000",,2016,1,"B",7669,"7563",7554,3,"2",1355,"1333","2461.4","34","28","62","22","16","1332","47","31","22","39","42","19","42","45","13","0","0","0"
"41","69039","0000000",,2016,1,"B",7669,"7563",7554,4,"2",1311,"1290","2499.8","33","26","59","22","19","1287","45","27","28","36","40","24","41","38","21","0","0","0"
"41","69039","0000000",,2016,1,"B",7670,"7527",7522,4,"1",1311,"1285","2486.6","38","22","59","15","25","1283","32","40","28","37","40","23","24","63","13","34","47","19"
"41","69039","0000000",,2016,1,"B",7670,"7527",7522,5,"1",1337,"1315","2532.9","37","28","65","15","20","1314","35","39","26","46","34","20","26","57","17","46","42","11"
"41","69039","0000000",,2016,1,"B",7669,"7563",7554,5,"2",1337,"1321","2535.6","37","19","57","21","22","1320","43","28","28","38","36","26","35","42","23","0","0","0"
"41","69039","0000000",,2016,1,"B",7669,"7563",7554,6,"2",1276,"1261","2554.2","33","22","55","23","22","1260","37","32","31","35","42","24","36","44","20","0","0","0"
"41","69039","0000000",,2016,1,"B",7670,"7527",7522,6,"1",1276,"1253","2556.9","31","32","63","20","17","1253","31","43","27","40","39","21","25","65","10","43","45","11"
"41","69039","0000000",,2016,1,"B",7670,"7527",7522,7,"1",1209,"1185","2577.4","27","35","62","20","18","1184","32","43","25","44","40","15","24","61","15","38","47","16"
"41","69039","0000000",,2016,1,"B",7669,"7563",7554,7,"2",1209,"1191","2566.9","32","22","54","23","23","1191","40","30","30","36","40","24","37","40","23","0","0","0"
"41","69039","0000000",,2016,1,"B",7669,"7563",7554,8,"2",1181,"1167","2581.6","30","21","50","24","26","1164","34","33","33","35","45","20","29","50","21","0","0","0"
"41","69039","0000000",,2016,1,"B",7670,"7527",7522,8,"1",1181,"1162","2590.1","24","38","62","21","17","1162","35","41","24","37","45","17","22","63","15","39","45","16"
"41","69039","0000000",,2016,1,"B",7670,"7527",7522,13,"1",7670,"7527","","33","29","62","19","19","7522","33","42","26","40","41","19","25","62","14","39","46","16"
"41","69039","0000000",,2016,1,"B",7669,"7563",7554,13,"2",7669,"7563","","33","23","56","22","21","7554","41","30","29","37","41","23","37","43","20","0","0","0"
"41","69039","0000000",,2016,3,"B",3918,"3859",3852,3,"2",733,"715","2463.8","36","28","64","20","17","714","48","28","23","41","41","18","44","43","14","0","0","0"
"41","69039","0000000",,2016,3,"B",3918,"3835",3830,3,"1",733,"711","2439.8","34","22","56","22","22","710","28","44","28","30","46","24","25","62","13","30","48","21"
