"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"41","69039","0000000",,2018,1,"B","7409","7404",3,"2","1243","1234","2454.0","32.82","28.77","61.59","17.02","21.39","1234","48.78","26.34","24.88","37.84","39.14","23.01","39.06","39.79","21.15","0.00","0.00","0.00"
"41","69039","0000000",,2018,1,"B","7313","7309",3,"1","1243","1208","2440.5","33.11","23.68","56.79","20.70","22.52","1208","32.28","42.30","25.41","31.37","42.63","25.99","24.67","60.93","14.40","31.95","48.34","19.70"
"41","69039","0000000",,2018,1,"B","7313","7309",4,"1","1235","1204","2491.8","39.45","21.26","60.71","15.03","24.25","1204","35.30","42.86","21.84","36.74","40.90","22.36","26.41","59.55","14.04","35.63","44.35","20.02"
"41","69039","0000000",,2018,1,"B","7409","7404",4,"2","1235","1223","2498.4","31.73","25.18","56.91","24.12","18.97","1223","42.27","26.33","31.40","36.30","38.59","25.10","37.53","39.74","22.73","0.00","0.00","0.00"
"41","69039","0000000",,2018,1,"B","7409","7404",5,"2","1290","1282","2526.9","33.28","17.58","50.86","24.06","25.08","1280","39.22","26.64","34.14","34.38","38.52","27.11","29.92","43.83","26.25","0.00","0.00","0.00"
"41","69039","0000000",,2018,1,"B","7313","7309",5,"1","1290","1268","2528.8","36.02","27.73","63.74","14.30","21.96","1266","36.02","41.00","22.99","44.74","35.02","20.24","25.28","56.32","18.40","40.36","39.18","20.46"
"41","69039","0000000",,2018,1,"B","7313","7309",6,"1","1237","1210","2556.2","31.82","32.23","64.05","17.02","18.93","1210","35.21","37.93","26.86","40.45","39.37","20.18","24.32","60.88","14.81","46.53","37.19","16.28"
"41","69039","0000000",,2018,1,"B","7409","7404",6,"2","1237","1227","2548.0","34.09","17.21","51.31","22.19","26.51","1226","38.20","28.73","33.06","34.09","36.79","29.12","34.34","34.34","31.32","0.00","0.00","0.00"
"41","69039","0000000",,2018,1,"B","7409","7404",7,"2","1260","1249","2576.2","35.20","22.53","57.74","20.77","21.49","1247","44.27","28.31","27.43","35.28","41.78","22.94","35.85","46.91","17.24","0.00","0.00","0.00"
"41","69039","0000000",,2018,1,"B","7313","7309",7,"1","1260","1236","2579.9","28.28","36.87","65.15","15.56","19.29","1234","36.47","38.33","25.20","45.45","38.31","16.23","17.83","64.10","18.07","43.44","40.52","16.05"
"41","69039","0000000",,2018,1,"B","7313","7309",8,"1","1202","1187","2596.6","29.23","34.63","63.86","19.12","17.02","1187","34.88","39.34","25.78","41.89","40.29","17.82","28.56","59.98","11.46","42.88","41.70","15.42"
"41","69039","0000000",,2018,1,"B","7409","7404",8,"2","1202","1194","2585.7","35.51","16.00","51.51","19.43","29.06","1194","37.97","28.83","33.19","37.52","39.45","23.03","37.05","37.38","25.57","0.00","0.00","0.00"
"41","69039","0000000",,2018,1,"B","7409","7404",13,"2","7467","7409","","33.77","21.22","54.98","21.29","23.73","7404","41.80","27.52","30.68","35.89","39.05","25.07","35.58","40.39","24.03","0.00","0.00","0.00"
"41","69039","0000000",,2018,1,"B","7313","7309",13,"1","7467","7313","","33.00","29.40","62.40","16.92","20.67","7309","35.04","40.29","24.67","40.16","39.38","20.46","24.48","60.28","15.24","40.14","41.85","18.01"
"41","69039","0000000",,2018,3,"B","3790","3786",3,"2","644","638","2455.0","34.33","27.59","61.91","16.93","21.16","638","50.78","24.61","24.61","39.03","38.24","22.73","37.62","40.60","21.79","0.00","0.00","0.00"
"41","69039","0000000",,2018,3,"B","3738","3734",3,"1","644","622","2427.5","27.81","24.60","52.41","22.03","25.56","622","28.30","42.77","28.94","26.05","43.73","30.23","20.58","61.25","18.17","28.94","48.07","22.99"
"41","69039","0000000",,2018,3,"B","3738","3734",4,"1","618","601","2477.2","34.61","19.97","54.58","15.64","29.78","601","31.11","42.60","26.29","30.95","39.60","29.45","25.79","58.24","15.97","33.11","42.10","24.79"
"41","69039","0000000",,2018,3,"B","3790","3786",4,"2","618","611","2497.5","31.59","24.22","55.81","25.37","18.82","611","42.39","23.24","34.37","36.99","37.48","25.53","37.64","37.64","24.71","0.00","0.00","0.00"
"41","69039","0000000",,2018,3,"B","3790","3786",5,"2","706","699","2531.8","37.11","17.19","54.30","22.35","23.35","698","43.41","24.79","31.81","36.39","37.82","25.79","31.95","42.41","25.64","0.00","0.00","0.00"
"41","69039","0000000",,2018,3,"B","3738","3734",5,"1","706","690","2517.3","33.87","25.58","59.45","14.53","26.02","688","33.58","39.53","26.89","41.13","34.88","23.98","23.55","55.52","20.93","37.35","38.23","24.42"
"41","69039","0000000",,2018,3,"B","3738","3734",6,"1","660","644","2548.5","28.57","34.01","62.58","17.08","20.34","644","32.45","39.75","27.80","34.99","43.23","21.77","24.57","59.56","15.86","44.57","38.04","17.39"
"41","69039","0000000",,2018,3,"B","3790","3786",6,"2","660","652","2549.2","36.41","14.90","51.31","22.12","26.57","651","40.62","26.00","33.38","35.94","35.02","29.03","35.48","32.57","31.95","0.00","0.00","0.00"
"41","69039","0000000",,2018,3,"B","3790","3786",7,"2","624","618","2568.5","34.74","21.27","56.01","20.29","23.70","616","43.51","26.14","30.36","35.88","38.64","25.49","35.71","44.81","19.48","0.00","0.00","0.00"
"41","69039","0000000",,2018,3,"B","3738","3734",7,"1","624","612","2557.6","24.10","33.11","57.21","15.41","27.38","610","32.95","33.93","33.11","37.11","39.41","23.48","15.57","61.15","23.28","36.23","41.31","22.46"
"41","69039","0000000",,2018,3,"B","3738","3734",8,"1","575","569","2574.9","21.97","33.92","55.89","20.56","23.55","569","31.11","35.68","33.22","33.16","42.68","24.16","23.73","60.98","15.29","35.68","44.11","20.21"
"41","69039","0000000",,2018,3,"B","3790","3786",8,"2","575","572","2574.1","33.04","15.73","48.78","17.83","33.39","572","35.20","27.85","36.95","34.79","38.64","26.57","33.80","37.30","28.90","0.00","0.00","0.00"
"41","69039","0000000",,2018,3,"B","3790","3786",13,"2","3827","3790","","34.63","20.13","54.75","20.87","24.38","3786","42.79","25.40","31.82","36.53","37.61","25.86","35.32","39.26","25.42","0.00","0.00","0.00"
"41","69039","0000000",,2018,3,"B","3738","3734",13,"1","3827","3738","","28.66","28.47","57.12","17.46","25.42","3734","31.63","39.10","29.27","34.05","40.48","25.47","22.31","59.36","18.32","36.07","41.86","22.07"
"41","69039","0000000",,2018,4,"B","3575","3575",3,"1","599","586","2454.3","38.74","22.70","61.43","19.28","19.28","586","36.52","41.81","21.67","37.03","41.47","21.50","29.01","60.58","10.41","35.15","48.63","16.21"
"41","69039","0000000",,2018,4,"B","3619","3618",3,"2","599","596","2453.0","31.21","30.03","61.24","17.11","21.64","596","46.64","28.19","25.17","36.58","40.10","23.32","40.60","38.93","20.47","0.00","0.00","0.00"
"41","69039","0000000",,2018,4,"B","3575","3575",4,"1","617","603","2506.4","44.28","22.55","66.83","14.43","18.74","603","39.47","43.12","17.41","42.52","42.19","15.28","27.03","60.86","12.11","38.14","46.60","15.26"
"41","69039","0000000",,2018,4,"B","3619","3618",4,"2","617","612","2499.4","31.86","26.14","58.01","22.88","19.12","612","42.16","29.41","28.43","35.62","39.71","24.67","37.42","41.83","20.75","0.00","0.00","0.00"
"41","69039","0000000",,2018,4,"B","3575","3575",5,"1","584","578","2542.4","38.58","30.28","68.86","14.01","17.13","578","38.93","42.73","18.34","49.05","35.18","15.77","27.34","57.27","15.40","43.94","40.31","15.74"
"41","69039","0000000",,2018,4,"B","3619","3618",5,"2","584","583","2520.9","28.69","18.04","46.74","26.12","27.15","582","34.19","28.87","36.94","31.96","39.35","28.69","27.49","45.53","26.98","0.00","0.00","0.00"
"41","69039","0000000",,2018,4,"B","3619","3618",6,"2","577","575","2546.7","31.48","19.83","51.30","22.26","26.43","575","35.48","31.83","32.70","32.00","38.78","29.22","33.04","36.35","30.61","0.00","0.00","0.00"
"41","69039","0000000",,2018,4,"B","3575","3575",6,"1","577","566","2565.0","35.51","30.21","65.72","16.96","17.31","566","38.34","35.87","25.80","46.64","34.98","18.37","24.03","62.37","13.60","48.76","36.22","15.02"
